1,2,1,3,2,1,2,1,1,2
5,1,1,1,2,1,2,2,1,2
4,1,1,1,2,1,2,1,1,2
3,1,1,1,2,1,3,1,1,2
3,1,1,1,2,1,2,1,1,2
5,1,1,1,2,1,2,1,1,2
5,4,5,1,8,1,3,6,1,2
7,8,8,7,3,10,7,2,3,4
1,1,1,1,2,1,1,1,1,2
1,1,1,1,2,1,2,1,1,2
4,1,1,1,2,1,3,1,1,2
1,1,3,1,2,1,2,1,1,2
1,1,3,1,2,1,2,1,1,2
3,1,1,3,2,1,2,1,1,2
1,1,1,1,2,1,1,1,1,2
5,2,2,2,2,1,1,1,2,2
3,1,1,1,2,1,3,1,1,2
5,7,4,1,6,1,7,10,3,4
5,10,10,8,5,5,7,10,1,4
3,10,7,8,5,8,7,4,1,4
3,2,1,2,2,1,3,1,1,2
2,1,1,1,2,1,3,1,1,2
5,3,2,1,3,1,1,1,1,2
1,1,1,1,2,1,2,1,1,2
4,1,4,1,2,1,1,1,1,2
1,1,2,1,2,1,2,1,1,2
5,1,1,1,2,1,1,1,1,2
1,1,1,1,2,1,1,1,1,2
2,1,1,1,2,1,1,1,1,2
10,10,10,10,5,10,10,10,7,4
5,10,10,10,4,10,5,6,3,4
5,1,1,1,2,1,3,2,1,2
1,1,1,1,2,1,1,1,1,2
1,1,1,1,2,1,1,1,1,2
1,1,1,1,2,1,1,1,1,2
1,1,1,1,2,1,1,1,1,2
3,1,1,1,2,1,2,3,1,2
4,1,1,1,2,1,1,1,1,2
1,1,1,1,2,1,1,1,8,2
1,1,1,3,2,1,1,1,1,2
5,10,10,5,4,5,4,4,1,4
3,1,1,1,2,1,1,1,1,2
3,1,1,1,2,1,2,1,2,2
3,1,1,1,3,2,1,1,1,2
2,1,1,1,2,1,1,1,1,2
5,10,10,3,7,3,8,10,2,4
4,8,6,4,3,4,10,6,1,4
4,8,8,5,4,5,10,4,1,4